ID,score1,score2,score3,score4
317,1,0,0,0
318,0,0,0,1
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,9,7
323,0,0,0,0
324,0,0,0,0
325,0,0,0,1
326,0,0,0,0
327,1,0,1,0
328,0,0,0,1
329,0,0,0,0
330,0,0,0,0
331,0,0,0,0
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,1,2,1,1
338,0,2,0,0
339,0,0,0,0
340,0,2,0,0
341,0,0,0,0
342,0,2,2,2
343,0,0,0,0
344,1,1,1,1
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,3,0,0,0
350,0,0,0,0
351,0,1,0,0
352,0,0,0,1
353,0,0,0,0
354,0,0,0,1
355,0,0,0,1
356,0,1,6,0
357,3,0,0,0
358,0,0,0,0
359,0,0,1,0
360,2,0,14,3
361,-14,-14,-15,-16
362,5,1,1,1
363,0,0,0,0
364,0,0,0,0
365,3,0,5,5
366,0,0,0,0
367,3,3,15,3
368,0,2,0,0
369,1,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,7
373,2,0,0,2
374,0,0,0,0
375,0,0,1,0
376,0,0,0,0
377,0,0,0,0
378,0,0,2,0
379,0,0,0,0
380,0,0,0,0
381,0,0,0,0
382,0,0,0,0
383,1,0,0,0
384,0,0,0,1
385,0,0,0,0
386,0,0,0,0
387,0,0,0,3
388,0,0,0,0
389,0,0,0,0
390,0,6,0,0
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,0,0,0
396,0,0,0,1
397,0,0,0,1
398,0,0,1,0
399,5,5,5,10
400,0,0,0,0
401,0,5,6,7
402,0,0,0,2
403,0,2,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,1
407,0,0,0,0
408,0,2,0,0
409,1,3,4,2
410,1,1,0,0
411,0,0,0,0
412,0,0,2,0
413,0,0,0,0
414,32,0,0,0
415,0,0,0,0
416,9,9,11,9
417,2,0,1,1
418,0,0,0,3
419,0,1,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,0,0,0,0
429,1,0,0,0
430,0,0,1,0
431,0,0,0,0
432,3,0,0,0
433,0,0,0,0
434,0,0,0,0
435,-2,-2,-2,0
436,0,0,0,0
437,0,0,0,4
438,1,5,0,2
439,0,0,1,0
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,0,5,0,0
444,0,0,0,5
445,0,2,0,0
446,0,2,0,0
447,1,0,0,0
448,0,0,5,0
449,3,0,0,0
450,0,0,0,0
451,0,0,0,0
452,3,0,0,0
453,0,0,0,0
454,0,0,0,0
455,0,0,0,0
456,0,0,0,0
457,0,0,1,2
458,0,0,0,0
459,0,0,1,0
460,7,7,7,7
461,1,0,0,0
462,0,0,0,0
463,0,0,0,0
464,0,0,0,0
465,0,0,0,0
466,0,0,0,1
467,0,0,0,1
468,0,0,0,1
469,0,0,0,0
470,0,0,0,1
471,0,0,0,0
472,0,0,0,0
473,1,0,1,1
474,0,0,1,0
475,0,0,0,0
476,0,1,0,0
477,0,5,5,0
478,2,0,0,0
479,0,0,0,0
480,0,0,0,1
481,0,0,0,0
482,0,0,0,0
483,0,0,0,0
484,0,0,0,0
485,2,0,0,1
486,0,0,0,0
487,0,0,0,0
488,0,0,0,0
489,0,0,0,0
490,0,0,0,0
491,5,0,0,2
492,0,0,1,0
493,0,0,0,0
494,2,0,0,0
495,0,0,0,5
496,0,0,0,0
497,0,0,0,1
498,1,0,0,0
499,0,0,0,0
500,0,0,0,0
501,0,5,0,0
502,0,3,0,0
503,0,0,0,0
504,2,0,0,0
505,0,0,0,0
506,0,0,0,0
507,0,0,0,0
508,5,0,0,0
509,0,7,14,1
510,0,0,0,0
511,0,0,0,0
512,1,0,1,1
513,0,0,0,9
514,0,0,0,0
515,0,0,0,0
516,8,8,9,8
517,0,0,3,0
518,1,0,0,0
519,0,0,0,0
520,0,1,8,0
521,0,0,0,0
522,1,0,0,0
523,1,0,0,0
524,1,0,0,0
525,0,1,1,0
526,0,0,3,0
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,0,0,0,0
531,0,0,0,2
532,1,1,0,0
533,0,0,1,1
534,0,0,1,0
535,1,0,0,0
536,2,3,2,2
537,0,0,1,2
538,0,3,0,0
539,0,0,3,3
